Available,Cost,Event name,Category,Organizer,Link,Date,Beginning Date,Ending Date,Time,Location,Photo,Summary
Y,,SCM ANNUAL 2024,exhibition,scmannual,https://www.instagram.com/p/C86w0HfhcDt/,till 28/7,12/7,28/7,,九龍塘達康路十八號邵逸夫創意媒體中心,Snapinsta.app_449633232_461004523306519_7188797498438404394_n_1080,【SCM ANNUAL 2024】 @scmannual | till 28/7 | 九龍塘達康路十八號邵逸夫創意媒體中心
Y,,Afterstudio: Beginning of an END of a beginning 逆讀建築,exhibition,pmqhkdesign,https://www.instagram.com/p/C9hH-F5MKo_/?img_index=1,till 28/7,5/7,28/7,,PMQ,Snapinsta.app_451419308_470343632279881_6523111234448330029_n_1080,【Afterstudio: Beginning of an END of a beginning 逆讀建築】 @pmqhkdesign | till 28/7 | PMQ
Y,,電陶宇宙,exhibition,st_james_creation,https://www.instagram.com/p/C9eGpz-PaLh/?img_index=4,till 28/7,20/7,28/7,,Tomorrow Maybe @ 香港逸東酒店4樓,,【電陶宇宙】 @st_james_creation | till 28/7 | Tomorrow Maybe @ 香港逸東酒店4樓
Y,,關樂同 首個個展——GHOSTED 失靈,exhibition,tate.kw,https://www.instagram.com/p/C8mHNvPPCCe/,till 29/7,5/7,29/7,,POINTSMAN Artspace,Snapinsta.app_448965953_1515343352751398_4117644916805817762_n_1024,【關樂同 首個個展——GHOSTED 失靈】 @tate.kw | till 29/7 | POINTSMAN Artspace
Y,,人工逆生志Ungenerating AI,exhibition,ungenerating_ai,https://www.instagram.com/p/C8qi39apytq/,till 29/7,4/7,29/7,,Mooroom,Snapinsta.app_449143359_1143888466860325_8908585011088449027_n_1024,【人工逆生志Ungenerating AI】 @ungenerating_ai | till 29/7 | Mooroom
Y,,坂本健作陶展,exhibition,noihongkong,https://www.instagram.com/p/C9CZgvmSsUd/?img_index=4,till 29/7,18/7,29/7,,40A Upper Lascar Row,Snapinsta.app_450090639_17959621619789263_5336033798492693420_n_1080,【坂本健作陶展】 @noihongkong | till 29/7 | 40A Upper Lascar Row
Y,,《環遊角落》大排檔與本地飲食文化,exhibition,ekcc.hk,,till 30/7,22/4,30/7,,,,【《環遊角落》大排檔與本地飲食文化】 @ekcc.hk | till 30/7 | 
Y,,膏腴之間,exhibition,hongwahstudio,https://www.instagram.com/p/C8juiNPvIkc/,till 30/7,6/7,30/7,,艺鵠藝術空間,Snapinsta.app_448991810_18438534412040293_2762075160778901378_n_1080,【膏腴之間】 @hongwahstudio | till 30/7 | 艺鵠藝術空間
Y,,共聚新樓街。發現沙頭角,exhibition,luenwomarket.hk,https://www.instagram.com/p/C9ttFuBqLRG/,till 30/7,20/7,30/7,,聯和趁墟,Snapinsta.app_452361779_818791300349371_2454004431555109403_n_1080,【共聚新樓街。發現沙頭角】 @luenwomarket.hk | till 30/7 | 聯和趁墟
Y,,香港流行文化節2024—香港音樂家群像系列: 顧嘉煇與黃霑音樂文獻選粹,exhibition,readingisjoyful,,till 31/7,,31/7,,香港中央圖書館,,【香港流行文化節2024—香港音樂家群像系列: 顧嘉煇與黃霑音樂文獻選粹】 @readingisjoyful | till 31/7 | 香港中央圖書館
Y,,VITAL,exhibition,sinsinfineart,,till 31/7,6/6,31/7,,Sin Sin Fine Art,,【VITAL】 @sinsinfineart | till 31/7 | Sin Sin Fine Art
Y,,「生花•花生」——藝術文學碩士畢業展（中國藝術創作）,exhibition,artmuseumcuhk,https://www.instagram.com/p/C86hyXkB24Z/,till 31/7,7/7,31/7,,中大文物館展廳,Snapinsta.app_449467368_874525014698449_1720128418255116366_n_1080,【「生花•花生」——藝術文學碩士畢業展（中國藝術創作）】 @artmuseumcuhk | till 31/7 | 中大文物館展廳
Y,,社區博物館系列 - 學學習角,exhibition,retaikoktsui,,till 31/7,,31/7,,大角咀塘尾道25號(Spark City 俊薈旺角) 地面A鋪位,,【社區博物館系列 - 學學習角】 @retaikoktsui | till 31/7 | 大角咀塘尾道25號(Spark City 俊薈旺角) 地面A鋪位
Y,,‘Sky beyond words.’: A solo exhibition by Ryo Matsuoka,exhibition,wkmgallery,,till 3/8,21/6,3/8,,WKM Gallery,,【‘Sky beyond words.’: A solo exhibition by Ryo Matsuoka】 @wkmgallery | till 3/8 | WKM Gallery
Y,,「香港・約會地圖」慧惠個展,exhibition,waiwai.sketches,,till 3/8,6/7,3/8,,雍廷序畫廊,Snapinsta.app_448801692_18443931976063448_5942096212883888904_n_1080,【「香港・約會地圖」慧惠個展】 @waiwai.sketches | till 3/8 | 雍廷序畫廊
Y,,行走的姿態 - 插畫展,exhibition,kelvin.s.art,https://www.instagram.com/p/C8eQpExPX3F/,till 3/8,30/6,3/8,,Fan Art Studio,Snapinsta.app_448668669_4129643487262958_5703296329369801885_n_1024,【行走的姿態 - 插畫展】 @kelvin.s.art | till 3/8 | Fan Art Studio
Y,,迷 · 望～粉彩畫展覧,exhibition,blank_space_hk,https://www.instagram.com/p/C9yrqZ_PieV/?img_index=1,till 3/8,27/7,3/8,,BLANK_SPACE,Snapinsta.app_452658738_17963521505784993_2284138300296625531_n_1080,【迷 · 望～粉彩畫展覧】 @blank_space_hk | till 3/8 | BLANK_SPACE
Y,,「北歐自然生活提案L ife in Nordic」by 胡鬚,exhibition,barlemna,https://www.instagram.com/p/C7_aZNUBQ9f/,till 4/8,29/6,4/8,,Glasshouse Culture Area at Lemna of the alchemist,Snapinsta.app_447591401_766453305603921_6987865378699777754_n_1024,【「北歐自然生活提案L ife in Nordic」by 胡鬚】 @barlemna | till 4/8 | Glasshouse Culture Area at Lemna of the alchemist
Y,,馬穎汶「泡沫之城」,exhibition,wyndham_social,https://www.instagram.com/p/C8ZR95TvZer/,till 4/8,28/6,4/8,,中環雲咸街 33 號地下,Snapinsta.app_448576619_1520014762283078_1252650381893239150_n_1024,【馬穎汶「泡沫之城」】 @wyndham_social | till 4/8 | 中環雲咸街 33 號地下
Y,,窸 ​ 窸 ​ 窣 ​ 窣 𝚛 𝚎 𝚊 𝚍 𝚒 𝚗 𝚐 ​ ​ ​ 𝚝 𝚘 𝚐 𝚎 𝚝 𝚑 𝚎 𝚛 ,exhibition,yuk.kee,https://www.instagram.com/p/C89Vh7BPv9m/?img_index=1,till 4/8,6/7,4/8,,"yuk kee | shop44, sheung fung street market, wong tai sin",Snapinsta.app_449492447_384836667946520_2699979599386059409_n_1080,"【窸 ​ 窸 ​ 窣 ​ 窣 𝚛 𝚎 𝚊 𝚍 𝚒 𝚗 𝚐 ​ ​ ​ 𝚝 𝚘 𝚐 𝚎 𝚝 𝚑 𝚎 𝚛 】 @yuk.kee | till 4/8 | yuk kee | shop44, sheung fung street market, wong tai sin"
Y,,看我寫真 - 朱維德作品回顧展,exhibition,historicalwalkhk,https://www.instagram.com/p/C9CXDPUtrok/,till 4/8,26/7,4/8,,雪熊故事館,Snapinsta.app_449714031_949213197218027_7801932054310279326_n_1080,【看我寫真 - 朱維德作品回顧展】 @historicalwalkhk | till 4/8 | 雪熊故事館
Y,,麥香傳承．九廠體驗館,exhibition,kowloonflourmills,https://www.instagram.com/p/C9oL_CuMXvY/?img_index=1,till 4/8,20/7,4/8,,Colour Brown x GO.ON Space,Snapinsta.app_452193204_948742650596458_3203994837239484327_n_1080,【麥香傳承．九廠體驗館】 @kowloonflourmills | till 4/8 | Colour Brown x GO.ON Space
Y,,卡夫卡：我是一隻尋找鳥的籠,exhibition,goetheinstitut_hk,https://www.instagram.com/p/C8bgxjzMZwO/?img_index=1,till 6/8,2/7,6/8,,Goethe Gallery,Snapinsta.app_448760684_882556587243269_1670828989744613862_n_1080,【卡夫卡：我是一隻尋找鳥的籠】 @goetheinstitut_hk | till 6/8 | Goethe Gallery
Y,,熟悉的陌生,exhibition,familiar.strangeness,https://www.instagram.com/p/C8yRfjSpg2T/,till 8/8,5/7,8/8,,香港藝術中心,,【熟悉的陌生】 @familiar.strangeness | till 8/8 | 香港藝術中心
Y,,「水墨 · 留情」藝術展覽,exhibition,creativeaginghk,https://www.instagram.com/p/C9xCAOAqGcE/?img_index=1,2/8-9/8,2/8,9/8,10am-6pm,金齡薈,Snapinsta.app_452379340_453879680955203_869974198256290203_n_1080,【「水墨 · 留情」藝術展覽】 @creativeaginghk | 2/8-9/8 | 金齡薈
Y,,南方個展「有趣的靈魂」,exhibition,musegarden.artspace,https://www.instagram.com/p/C86yjlQyAsd/,till 10/8,13/7,10/8,,Muse Garden,Snapinsta.app_449624388_996597368293566_5393662689681721438_n_1080,【南方個展「有趣的靈魂」】 @musegarden.artspace | till 10/8 | Muse Garden
Y,,油街焦點 — 襄見,exhibition,oilstreetartspace,,till 11/8,,11/8,,油街玻璃屋,,【油街焦點 — 襄見】 @oilstreetartspace | till 11/8 | 油街玻璃屋
Y,,紙繫南亞——攝影書展,exhibition,lumenvisum,https://www.instagram.com/p/C8_rWQaPPi2/?img_index=1,till 11/8,12/7,11/8,,光影作坊,Snapinsta.app_449455822_18328922491130347_2206526128744539607_n_1080,【紙繫南亞——攝影書展】 @lumenvisum | till 11/8 | 光影作坊
Y,,碎碎念碎碎畫——阿高的草圖人生,exhibition,eaton.hk,,till 12/8,12/7,12/8,,Eaton HK,,【碎碎念碎碎畫——阿高的草圖人生】 @eaton.hk | till 12/8 | Eaton HK
